cluster_id,user_address,block_time,currency_symbol,amount_original,source_chain_name,destination_chain_name,total_times,source_bridge_contract,destination_bridge_contract,debank_balance,txs_count,amount,source/destination_chain_count/contract_count,day/week/month
2,0x4e682dd27721b5cf61f78d31a07e58720d072e2e,2022-12-14 14:11:58.000 UTC,USDC.e,110.4692,Polygon,Optimism,21,0x9d1b1669c73b033dfe47ae5a0164ab96df25b944,0x701a95707a0290ac8b90b3719e8ee5b210360883,274,21,3632.78,"5 , 8 , 6","12 , 11 , 7"
2,0x7216c78103f03312638f9e87d02660a694072d71,2022-12-14 14:11:58.000 UTC,USDC.e,110,Polygon,Optimism,17,0x9d1b1669c73b033dfe47ae5a0164ab96df25b944,0x701a95707a0290ac8b90b3719e8ee5b210360883,282,17,3769.52,"5 , 7 , 6","9 , 8 , 6"
2,0x07f9bb0541da01aa2a6a77d230407dd9dc425d1e,2022-12-14 14:11:58.000 UTC,USDC.e,110.7,Polygon,Optimism,19,0x9d1b1669c73b033dfe47ae5a0164ab96df25b944,0x701a95707a0290ac8b90b3719e8ee5b210360883,277,19,2567.31,"5 , 8 , 6","12 , 11 , 7"
2,0x808aa1671b1671ebf5ae32cc96cebf7d68ccf94b,2022-12-14 14:11:58.000 UTC,USDC.e,110,Polygon,Optimism,19,0x9d1b1669c73b033dfe47ae5a0164ab96df25b944,0x701a95707a0290ac8b90b3719e8ee5b210360883,285,19,3645.99,"5 , 8 , 6","11 , 10 , 7"
2,0x76c084018f8df194cbacf94819173317b4dae021,2022-12-14 14:11:58.000 UTC,USDC.e,110.6,Polygon,Optimism,20,0x9d1b1669c73b033dfe47ae5a0164ab96df25b944,0x701a95707a0290ac8b90b3719e8ee5b210360883,285,20,3027.43,"5 , 7 , 6","12 , 11 , 7"
2,0x50d2b52b67755ac9370aea86bda772b25bb9f38d,2022-12-14 14:11:58.000 UTC,USDC.e,110.21,Polygon,Optimism,19,0x9d1b1669c73b033dfe47ae5a0164ab96df25b944,0x701a95707a0290ac8b90b3719e8ee5b210360883,235,19,2925.28,"4 , 6 , 5","13 , 10 , 6"
2,0x09c1592af079a3a23e9317c5dfa118cffab033d9,2022-12-14 14:11:58.000 UTC,USDC.e,110.1,Polygon,Optimism,16,0x9d1b1669c73b033dfe47ae5a0164ab96df25b944,0x701a95707a0290ac8b90b3719e8ee5b210360883,273,16,3274.78,"5 , 7 , 5","10 , 9 , 7"
2,0xb23aa69187af277615db16cdf310aba7e9a525d3,2022-12-14 14:11:58.000 UTC,USDC.e,110.74,Polygon,Optimism,18,0x9d1b1669c73b033dfe47ae5a0164ab96df25b944,0x701a95707a0290ac8b90b3719e8ee5b210360883,277,18,3077.7,"5 , 8 , 6","10 , 9 , 7"
2,0xb960ada685d8396a0e118db3b027f18259205809,2022-12-14 14:11:58.000 UTC,USDC.e,110.1,Polygon,Optimism,19,0x9d1b1669c73b033dfe47ae5a0164ab96df25b944,0x701a95707a0290ac8b90b3719e8ee5b210360883,276,19,2939.19,"5 , 8 , 6","10 , 9 , 7"
2,0x9ae1286d82d949ac123ed39ae1757be868d217bd,2022-12-14 14:11:58.000 UTC,USDC.e,110.2,Polygon,Optimism,19,0x9d1b1669c73b033dfe47ae5a0164ab96df25b944,0x701a95707a0290ac8b90b3719e8ee5b210360883,299,19,3421.78,"5 , 7 , 5","12 , 10 , 7"
2,0xec69b7b728e7b05cd48770e9c102830f00e5b231,2022-12-14 14:11:58.000 UTC,USDC.e,110.3,Polygon,Optimism,17,0x9d1b1669c73b033dfe47ae5a0164ab96df25b944,0x701a95707a0290ac8b90b3719e8ee5b210360883,257,17,2729.46,"5 , 7 , 6","10 , 9 , 6"
2,0x43d6f77c1624cb60854ffdaf3133e1b6935258d3,2022-12-14 14:11:58.000 UTC,USDC.e,110.34,Polygon,Optimism,21,0x9d1b1669c73b033dfe47ae5a0164ab96df25b944,0x701a95707a0290ac8b90b3719e8ee5b210360883,224,21,3652.99,"4 , 6 , 5","13 , 11 , 6"
2,0x4fa410962606e9962ec78caf0021b78cdf52f09d,2022-12-14 14:11:58.000 UTC,USDC.e,110.2,Polygon,Optimism,20,0x9d1b1669c73b033dfe47ae5a0164ab96df25b944,0x701a95707a0290ac8b90b3719e8ee5b210360883,230,20,3549.75,"4 , 6 , 5","13 , 10 , 6"
3,0xedd1bfdc744dfe78cfa5021979e6d2d047193674,2022-12-30 11:57:48.000 UTC,USDC.e,120,Polygon,Optimism,15,0x9d1b1669c73b033dfe47ae5a0164ab96df25b944,0x701a95707a0290ac8b90b3719e8ee5b210360883,124,15,131.73,"4 , 7 , 9","12 , 8 , 6"
3,0x9b36ef88e1ca9a67dbe81bbbf1a602c1aa90bf71,2022-12-30 11:57:48.000 UTC,USDC.e,120,Polygon,Optimism,15,0x9d1b1669c73b033dfe47ae5a0164ab96df25b944,0x701a95707a0290ac8b90b3719e8ee5b210360883,152,15,132.07,"4 , 7 , 9","12 , 8 , 6"
3,0xb26a95f5c66ca66ec0c1a27d94f9e9e9aa10b2e1,2022-12-30 11:57:48.000 UTC,USDC.e,120,Polygon,Optimism,15,0x9d1b1669c73b033dfe47ae5a0164ab96df25b944,0x701a95707a0290ac8b90b3719e8ee5b210360883,128,15,132.07,"4 , 7 , 9","12 , 8 , 6"
3,0xb4ba03754d06606204f8fada68e8d5fdfc4b2412,2022-12-30 11:57:48.000 UTC,USDC.e,120,Polygon,Optimism,16,0x9d1b1669c73b033dfe47ae5a0164ab96df25b944,0x701a95707a0290ac8b90b3719e8ee5b210360883,122,16,133.07,"4 , 7 , 9","13 , 8 , 6"
3,0x4daf4fec21e7e92f2b91aa5dc2ddae8e39baaa95,2022-12-30 11:57:48.000 UTC,USDC.e,120,Polygon,Optimism,15,0x9d1b1669c73b033dfe47ae5a0164ab96df25b944,0x701a95707a0290ac8b90b3719e8ee5b210360883,157,15,132.07,"4 , 7 , 9","12 , 8 , 6"
3,0x96beb572275027661daeb70c1afcef02616e69e4,2022-12-30 11:57:48.000 UTC,USDC.e,120,Polygon,Optimism,15,0x9d1b1669c73b033dfe47ae5a0164ab96df25b944,0x701a95707a0290ac8b90b3719e8ee5b210360883,123,15,132.07,"4 , 7 , 9","12 , 8 , 6"
3,0x969146d2c31e316b4f3a86b91ddf81672b9e0d2a,2022-12-30 11:57:48.000 UTC,USDC.e,120,Polygon,Optimism,16,0x9d1b1669c73b033dfe47ae5a0164ab96df25b944,0x701a95707a0290ac8b90b3719e8ee5b210360883,159,16,133.17,"4 , 7 , 9","13 , 8 , 6"
3,0x2605cd106f1dde2419f79996ca19a5420bc77ea3,2022-12-30 11:57:48.000 UTC,USDC.e,120,Polygon,Optimism,15,0x9d1b1669c73b033dfe47ae5a0164ab96df25b944,0x701a95707a0290ac8b90b3719e8ee5b210360883,154,15,132.07,"4 , 7 , 9","12 , 8 , 6"
3,0x699ef737ce9308fa7ef96cfdd6d9fe8102619261,2022-12-30 11:57:48.000 UTC,USDC.e,120,Polygon,Optimism,15,0x9d1b1669c73b033dfe47ae5a0164ab96df25b944,0x701a95707a0290ac8b90b3719e8ee5b210360883,161,15,132.11,"4 , 7 , 9","12 , 8 , 6"
3,0x26b8b100c8b31899c0fe06e571637968926e1fc8,2022-12-30 11:57:48.000 UTC,USDC.e,120,Polygon,Optimism,15,0x9d1b1669c73b033dfe47ae5a0164ab96df25b944,0x701a95707a0290ac8b90b3719e8ee5b210360883,150,15,132.07,"4 , 7 , 9","12 , 8 , 6"
3,0xb3f38469ba3e80678a2789ef00613a0a1dfcc7a1,2022-12-30 11:57:48.000 UTC,USDC.e,120,Polygon,Optimism,15,0x9d1b1669c73b033dfe47ae5a0164ab96df25b944,0x701a95707a0290ac8b90b3719e8ee5b210360883,205,15,132.07,"4 , 7 , 9","12 , 8 , 6"
3,0xfeff083c89e9911a3d8850aa998000cb7b87bbbe,2022-12-30 11:57:48.000 UTC,USDC.e,120,Polygon,Optimism,15,0x9d1b1669c73b033dfe47ae5a0164ab96df25b944,0x701a95707a0290ac8b90b3719e8ee5b210360883,123,15,131.92,"4 , 7 , 9","12 , 8 , 6"
3,0x759d58d99319a07d0f78130fa51771b780eaa4ab,2022-12-30 11:57:48.000 UTC,USDC.e,120,Polygon,Optimism,15,0x9d1b1669c73b033dfe47ae5a0164ab96df25b944,0x701a95707a0290ac8b90b3719e8ee5b210360883,128,15,131.92,"4 , 7 , 9","12 , 8 , 6"
3,0x57cec7c16b32e0c031e1142ea7cdb91fbc3f927c,2022-12-30 11:57:48.000 UTC,USDC.e,120,Polygon,Optimism,15,0x9d1b1669c73b033dfe47ae5a0164ab96df25b944,0x701a95707a0290ac8b90b3719e8ee5b210360883,122,15,131.92,"4 , 7 , 9","12 , 8 , 6"
3,0x2e2206b5562293f83a83b658cee6f159767fcea0,2022-12-30 11:57:48.000 UTC,USDC.e,120,Polygon,Optimism,15,0x9d1b1669c73b033dfe47ae5a0164ab96df25b944,0x701a95707a0290ac8b90b3719e8ee5b210360883,148,15,132.07,"4 , 7 , 9","12 , 8 , 6"
3,0x2ad4b589d18e4949dab6d51bd60c8af44f6d725f,2022-12-30 11:57:48.000 UTC,USDC.e,120,Polygon,Optimism,15,0x9d1b1669c73b033dfe47ae5a0164ab96df25b944,0x701a95707a0290ac8b90b3719e8ee5b210360883,159,15,132.07,"4 , 7 , 9","12 , 8 , 6"
3,0xf75d9081c62089057adc8c324ecb733d9c7a6113,2022-12-30 11:57:48.000 UTC,USDC.e,120,Polygon,Optimism,15,0x9d1b1669c73b033dfe47ae5a0164ab96df25b944,0x701a95707a0290ac8b90b3719e8ee5b210360883,162,15,132.07,"4 , 7 , 9","12 , 8 , 6"
3,0xb617a622d1e4998746a508d2b9bc10e44c41628d,2022-12-30 11:57:48.000 UTC,USDC.e,120,Polygon,Optimism,15,0x9d1b1669c73b033dfe47ae5a0164ab96df25b944,0x701a95707a0290ac8b90b3719e8ee5b210360883,126,15,131.92,"4 , 7 , 9","12 , 8 , 6"
3,0xba0685e06352deaeadda6fea07ce65bc294f60fe,2022-12-30 11:57:48.000 UTC,USDC.e,120,Polygon,Optimism,16,0x9d1b1669c73b033dfe47ae5a0164ab96df25b944,0x701a95707a0290ac8b90b3719e8ee5b210360883,125,16,134.07,"4 , 7 , 9","12 , 8 , 6"
